Time[ms], Pos[mm]
18734,0
18766,-0.10416746
18812,-0.10416746
18859,0
18891,-0.10416746
18953,0
18984,0
19016,0
19062,0
19094,-0.06944417999999999
19141,0
19172,0
19203,0
19250,0
19297,-0.06944417999999999
19344,0
19375,0
19406,0
19453,0
19484,0
19531,0
19578,0
19625,0
19656,0
19703,0
19734,0
19766,0
19812,0
19844,0.06944417999999999
19891,0.13888836
19922,0.20833254
19953,0.20833254
20000,0.20833254
20031,0.20833254
20078,0.20833254
20109,0.10416746
20141,0.10416746
20172,0.20833254
20219,0.20833254
20281,0.20833254
20312,0.20833254
20359,0.20833254
20406,0.20833254
20437,0.20833254
20484,0.20833254
20516,0.20833254
20562,0.20833254
20594,0.20833254
20641,0.20833254
20672,0.20833254
20719,0.20833254
20766,0.20833254
20812,0.45138836
20844,0.20833254
20906,0.20833254
20937,0.52083254
20984,0.52083254
21016,0.52083254
21078,0.5555558
21109,0.9539485
21156,0.9539485
21203,0.72916746
21250,0.5555558
21297,0.72916746
21344,0.72916746
21391,0.5902767
21437,0.5555558
21484,0.83333254
21516,1.0416675
21562,1.0416675
21594,1.0416675
21641,1.0416675
21687,1.2152767
21750,1.1458325
21797,1.1458325
21828,1.2152767
21859,1.2152767
21891,1.0416675
21937,1.25
21984,1.25
22016,1.25
22062,1.25
22094,1.25
22125,1.25
22187,1.4583325
22234,1.7361116
22297,2.5
22328,1.7013884
22375,2.7083325
22437,1.8055558
22484,2.4671054
22516,1.6666675
22562,1.6666675
22594,3.0592108
22641,2.4652767
22672,2.6736116
22719,2.6736116
22750,2.1875
22797,2.1875
22828,2.6388884
22859,2.6388884
22906,2.0065784
22937,2.9861116
22969,4.375
23016,4.375
23047,4.791665
23125,5.416665
23156,1.8055558
23203,2.5
23250,2.6041675
23281,3.854165
23328,5.3472233
23359,5
23406,5
23453,6.5972233
23516,6.2152767
23547,4.967103
23578,4.967103
23641,4.9652767
23687,5
23734,5.2430534
23781,5.4276323
23844,6.6447353
23875,6.979165
23922,6.979165
23969,4.6634626
24016,4.479165
24047,4.6875
24078,6.145835
24125,6.25
24156,5.989585
24187,6.614585
24250,6.614585
24297,10.104165
24344,10.260415
24391,8.854165
24437,8.854165
24469,10.15625
24516,10.15625
24562,9.545455
24594,9.6875
24625,10.15625
24687,10.15625
24719,9.0625
24750,9.6875
24797,9.6875
24859,10.625
24906,10.625
24953,11.041665
25000,11.041665
25031,10
25094,10
25125,NaN
25156,NaN
25187,12.5
25250,12.5
25297,10
25344,10
25375,9.479165
25437,8.75
25469,NaN
25531,NaN
25578,10.625
25609,10.625
25641,10.625
25687,10.625
25734,10.520835
25766,10
25812,9.479165
25859,9.375
25891,10.520835
25937,10.520835
25969,10.625
26000,10.3125
26062,9.947915
26094,9.947915
26156,9.375
26187,9.791665
26219,10.46875
26266,10.46875
26312,10.625
26359,10.364585
26406,9.0625
26437,9.270835
26469,9.791665
26516,9.375
26547,9.375
26578,8.75
26625,7.864585
26672,8.854165
26703,9.635415
26750,9.635415
26797,9.375
26844,7.740383
26875,7.8125
26922,7.8125
26953,8.125
27000,8.125
27031,7.8125
27078,7.8125
27109,8.125
27172,8.125
27203,8.125
27250,7.1875
27297,7.1875
27328,7.1875
27391,7.34375
27422,8.125
27469,8.125
27516,8.020835
27562,7.34375
27609,7.1875
27641,7.1875
27687,7.135415
27719,7.1875
27750,7.1875
27797,7.1875
27844,7.03125
27891,6.875
27937,7.115383
27984,6.875
28047,6.875
28078,6.875
28109,6.875
28141,6.875
28187,6.875
28234,6.875
28266,6.822915
28312,6.822915
28359,6.875
28406,6.875
28437,6.71875
28484,7.1875
28531,7.1875
28594,7.1875
28625,7.083335
28672,7.083335
28703,6.666665
28766,6.666665
28797,5.3125
28859,5.3125
28906,5.9375
28937,5.9375
28969,5.625
29016,5.3125
29047,5.9375
29094,6.9852924
29125,5.3125
29172,7.03125
29219,7.03125
29266,7.083335
29297,7.1875
29328,7.1875
29375,6.875
29406,5.9375
29437,7.291665
29484,7.291665
29531,7.291665
29562,6.666665
29594,6.145835
29625,5.416665
29672,6.145835
29703,6.666665
29734,6.666665
29781,6.666665
29859,6.666665
29937,-0.625
29969,-0.625
30000,-0.625
30047,-0.625
30078,-0.3125
30109,-0.625
30141,-0.625
